longitude,latitude,location,photo_id,county,year,description,url,preview
-75.963239,42.784785,approximate,AJ-3-73,Cortland,1936,Centered near Keeney in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/29b7a22d-9738-4747-8cb2-855fc3d7a766.jpg,http://stor.artstor.org/stor/29b7a22d-9738-4747-8cb2-855fc3d7a766_size2
-75.961655,42.768374,approximate,AJ-3-75,Cortland,1936,Centered near Keeney in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/7bb97aae-6d8c-423f-aec9-989d6d20ef3b.jpg,http://stor.artstor.org/stor/7bb97aae-6d8c-423f-aec9-989d6d20ef3b_size2
-76.339843,42.376047,approximate,AJ-16-15,Tompkins,1936,Centered near Slaterville Springs in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/00a9a1ed-84cb-4e2a-94a1-74b3c1a16eda.jpg,http://stor.artstor.org/stor/00a9a1ed-84cb-4e2a-94a1-74b3c1a16eda_size2
-76.341912,42.336264,approximate,AJ-16-11,Tompkins,1936,Centered near Caroline Center in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/2abd7f47-b999-4580-96ab-c398c62dfb89.jpg,http://stor.artstor.org/stor/2abd7f47-b999-4580-96ab-c398c62dfb89_size2
-76.3428,42.356607,approximate,AJ-16-13,Tompkins,1936,Centered near Caroline Center in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/7526a04b-dc49-411d-a887-70d429b0fdca.jpg,http://stor.artstor.org/stor/7526a04b-dc49-411d-a887-70d429b0fdca_size2
-76.181994,42.691113,approximate,AJ-1-62,Cortland,1936,Centered near Pratt Corners in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/2cd767fe-6cae-4a54-b1cb-ee4c38a41ff5.jpg,http://stor.artstor.org/stor/2cd767fe-6cae-4a54-b1cb-ee4c38a41ff5_size2
-76.464516,42.389826,approximate,AJ-15-91,Tompkins,1936,Centered near Bethel Grove in Ithaca (14850) in Tompkins County New York.,http://stor.artstor.org/stor/3bd17844-fc08-4f8e-98f5-741fb5df185e.jpg,http://stor.artstor.org/stor/3bd17844-fc08-4f8e-98f5-741fb5df185e_size2
-76.18348,42.671079,approximate,AJ-1-60,Cortland,1936,Centered near Pratt Corners in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/8283e405-3d95-4347-b62c-813f083a5f5c.jpg,http://stor.artstor.org/stor/8283e405-3d95-4347-b62c-813f083a5f5c_size2
-76.46761,42.345881,approximate,AJ-15-87,Tompkins,1936,Centered near Danby in Ithaca (14850) in Tompkins County New York.,http://stor.artstor.org/stor/c6817cfc-43a3-4835-baec-f6b74d4cf251.jpg,http://stor.artstor.org/stor/c6817cfc-43a3-4835-baec-f6b74d4cf251_size2
-76.466979,42.368055,approximate,AJ-15-89,Tompkins,1936,Centered near Danby in Ithaca (14850) in Tompkins County New York.,http://stor.artstor.org/stor/49234685-daf1-422d-8e2a-25442408a8cd.jpg,http://stor.artstor.org/stor/49234685-daf1-422d-8e2a-25442408a8cd_size2
-76.183276,42.650456,approximate,AJ-1-58,Cortland,1936,Centered in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/ab6b2122-0a11-42c7-9d09-594224a11ce9.jpg,http://stor.artstor.org/stor/ab6b2122-0a11-42c7-9d09-594224a11ce9_size2
-76.179429,42.42549,approximate,AJ-18-51,Cortland,1936,Centered near Harford Mills in Richford (13835) in Tioga County New York.,http://stor.artstor.org/stor/27ce4a0e-76c3-49ea-b49e-2d2b6ba96377.jpg,http://stor.artstor.org/stor/27ce4a0e-76c3-49ea-b49e-2d2b6ba96377_size2
-76.186049,42.44445,approximate,AJ-18-53,Cortland,1936,Centered near Harford Mills in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/585d8e9e-07f3-4e7a-a798-2a0c6dce5e51.jpg,http://stor.artstor.org/stor/585d8e9e-07f3-4e7a-a798-2a0c6dce5e51_size2
-76.151995,42.556531,approximate,AJ-18-63,Cortland,1936,Centered near Blodgett Mills in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/390177c2-4db7-4afc-b171-9daf577aa889.jpg,http://stor.artstor.org/stor/390177c2-4db7-4afc-b171-9daf577aa889_size2
-76.151406,42.761931,approximate,AJ-1-86,Cortland,1936,Centered near Assembly Park in Preble (13141) in Cortland County New York.,http://stor.artstor.org/stor/33a3a41e-4aaa-475a-90a8-f44dd5d0712c.jpg,http://stor.artstor.org/stor/33a3a41e-4aaa-475a-90a8-f44dd5d0712c_size2
-76.187607,42.463794,approximate,AJ-18-55,Cortland,1936,Centered near Virgil in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/d0f7a19b-a388-4df1-aca6-4dd0526d3f06.jpg,http://stor.artstor.org/stor/d0f7a19b-a388-4df1-aca6-4dd0526d3f06_size2
